2026-03-23 13:58:40 | DEBUG    | bot.client | ← HTTP 200  body={"orderId":12953385084,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"kLT9YJ5VA2AQFUp4EmqL13","price":"120000.00","avgPrice":"0.00","origQty":"0.002","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updat
2026-03-23 13:58:40 | INFO     | bot.client | Order response ← {'orderId': 12953385084, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'kLT9YJ5VA2AQFUp4EmqL13', 'price': '120000.00', 'avgPrice': '0.00', 'origQty': '0.002', 'executedQty': '0.000', 'cumQty': '0.000', 'cumQuote': '0.00000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1774254520355}
2026-03-23 13:58:40 | INFO     | bot.orders | Order placed successfully | orderId=12953385084 status=NEW
2026-03-23 13:58:40 | INFO     | __main__ | Bot run completed successfully.
2026-03-23 13:58:46 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 13:58:46 | INFO     | root | Logging initialised → logs\trading_bot_20260323.log
2026-03-23 13:58:46 | DEBUG    | __main__ | CLI args: {'api_key': None, 'api_secret': None, 'symbol': 'BTCUSDT', 'side': 'SELL', 'order_type': 'STOP_MARKET', 'quantity': 0.002, 'price': None, 'stop_price': 80000.0, 'log_level': 'DEBUG'}
2026-03-23 13:58:46 | DEBUG    | bot.validators | Symbol validated: BTCUSDT
2026-03-23 13:58:46 | DEBUG    | bot.validators | Side validated: SELL
2026-03-23 13:58:46 | DEBUG    | bot.validators | Order type validated: STOP_MARKET
2026-03-23 13:58:46 | DEBUG    | bot.validators | Quantity validated: 0.002
2026-03-23 13:58:46 | ERROR    | __main__ | Validation error: Price is required for STOP_MARKET orders. Provide it with --price.
